Employee_ID,Department,Age,Salary,Experience,Performance,Attrition,Risk_Level
105,Marketing,24,70369,4,84,No,Low Risk
106,Sales,53,72593,11,55,No,Medium Risk
107,Engineering,39,51551,4,81,No,Low Risk
108,Engineering,45,32207,8,44,No,Medium Risk
109,Marketing,39,41054,9,91,No,Low Risk
110,HR,32,38581,6,96,No,Low Risk
111,HR,37,31868,13,95,No,Low Risk
112,Engineering,37,107020,7,78,No,Low Risk
113,HR,38,54084,11,98,No,Low Risk
114,Marketing,48,93753,6,97,No,Low Risk
115,Marketing,24,81810,17,96,No,Low Risk
116,HR,28,37430,13,85,No,Low Risk
117,Sales,27,97230,5,87,No,Low Risk
118,Finance,30,74611,15,64,No,Low Risk
119,Finance,51,101878,8,79,No,Low Risk
120,Finance,41,96829,17,52,No,Medium Risk
121,Sales,47,80555,5,83,No,Low Risk
122,Sales,37,35898,5,65,No,Low Risk
123,Finance,54,47980,10,84,No,Low Risk
124,HR,40,60334,16,95,No,Low Risk
125,Finance,48,86865,14,55,No,Medium Risk
126,Engineering,48,115930,12,81,No,Low Risk
127,Finance,32,90342,17,79,No,Low Risk
128,Finance,30,85864,16,75,Yes,High Risk
129,Engineering,50,69895,18,67,Yes,High Risk
130,Finance,54,61598,10,48,No,Medium Risk
131,HR,29,98101,4,42,No,Medium Risk
132,HR,45,92153,12,85,Yes,High Risk
133,Engineering,26,33507,11,45,Yes,High Risk
134,HR,44,94653,11,64,No,Low Risk
135,Finance,36,100141,5,79,No,Low Risk
136,Finance,42,72484,6,60,No,Low Risk
137,Sales,25,57902,5,81,Yes,High Risk
138,HR,36,94777,15,93,No,Low Risk
139,HR,36,62610,8,71,No,Low Risk
140,Marketing,43,114902,2,67,No,Low Risk
141,Finance,36,108497,14,56,Yes,High Risk
142,Engineering,52,96326,15,78,No,Low Risk
143,Engineering,39,83082,10,67,Yes,High Risk
144,Engineering,32,86758,4,68,No,Low Risk
145,Engineering,45,62040,8,59,No,Medium Risk
146,Engineering,23,94254,14,80,Yes,High Risk
147,Marketing,50,78092,19,92,Yes,High Risk
148,Marketing,32,59615,6,73,No,Low Risk
149,Finance,33,78815,4,40,No,Medium Risk
150,Engineering,23,57367,2,97,No,Low Risk
151,HR,40,116551,11,65,No,Low Risk
152,Finance,33,55837,4,54,No,Medium Risk
153,Engineering,32,50349,3,54,No,Medium Risk
154,Marketing,28,77519,6,92,No,Low Risk
155,Marketing,25,52337,9,42,No,Medium Risk
156,Marketing,43,59240,10,90,Yes,High Risk
157,HR,38,114772,4,78,No,Low Risk
158,Marketing,40,57268,2,66,No,Low Risk
159,Sales,43,86419,15,60,No,Low Risk
160,Engineering,45,57963,15,70,No,Low Risk
161,Sales,41,55302,1,84,Yes,High Risk
162,Engineering,29,118350,9,87,No,Low Risk
163,Sales,38,117980,19,94,No,Low Risk
164,Engineering,25,35735,5,99,No,Low Risk
165,Finance,49,74804,10,47,No,Medium Risk
166,Sales,54,95239,12,87,Yes,High Risk
167,Finance,45,69205,14,40,No,Medium Risk
168,Marketing,47,104606,19,90,No,Low Risk
169,Marketing,38,69746,15,84,Yes,High Risk
170,HR,40,60705,16,45,No,Medium Risk
171,Sales,41,96083,7,53,No,Medium Risk
172,Sales,54,89065,15,41,No,Medium Risk
173,HR,46,78314,8,59,No,Medium Risk
174,HR,30,90551,13,48,No,Medium Risk
175,Sales,44,78250,13,74,No,Low Risk
176,HR,33,41933,6,93,No,Low Risk
177,Sales,30,43354,16,44,Yes,High Risk
178,Sales,46,103458,7,92,No,Low Risk
179,HR,48,102136,8,61,Yes,High Risk
180,Marketing,38,48128,6,58,No,Medium Risk
181,Engineering,50,81719,13,85,Yes,High Risk
182,Finance,48,52612,13,43,Yes,High Risk
183,Sales,52,107771,5,76,No,Low Risk
184,Finance,23,69504,11,41,No,Medium Risk
185,Finance,49,57381,10,45,Yes,High Risk
186,HR,24,34196,16,82,Yes,High Risk
187,Marketing,46,98553,13,64,No,Low Risk
188,Engineering,35,102229,2,55,No,Medium Risk
189,Sales,35,116600,12,72,No,Low Risk
190,HR,47,97879,15,66,No,Low Risk
191,Marketing,28,45941,6,56,No,Medium Risk
192,Marketing,39,87511,15,76,No,Low Risk
193,Marketing,28,105762,15,45,Yes,High Risk
194,Sales,52,78736,5,89,No,Low Risk
195,Engineering,24,107592,11,58,No,Medium Risk
196,Marketing,32,101943,1,80,Yes,High Risk
197,HR,47,93315,19,40,No,Medium Risk
198,Finance,40,32533,17,61,No,Low Risk
199,Marketing,54,36163,6,58,No,Medium Risk
200,Sales,38,52501,7,98,No,Low Risk
